Conduit Data,,,,,,,,
Name,InNode,OutNode,Length,ManningN,InOffset,OutOffset,InitFlow,MaxFlow
2001,1001,1002,486.92,0.01,*,*,0,0
2002,1002,1003,486.93,0.01,*,*,0,0
2003,1003,1004,486.92,0.01,*,*,0,0
2004,1004,1005,486.93,0.01,*,*,0,0
2005,1005,1022,486.92,0.01,*,*,0,0
2006,1006,1007,710.76,0.01,*,*,0,0
2007,1007,1008,710.77,0.01,*,*,0,0
2008,1008,1009,710.76,0.01,*,*,0,0
2009,1009,1010,710.77,0.01,*,*,0,0
2010,1010,1026,710.76,0.01,*,*,0,0
2011,1011,1012,778.3,0.01,*,*,0,0
2012,1012,1013,778.31,0.01,*,*,0,0
2013,1013,1014,778.3,0.01,*,*,0,0
2014,1014,1015,778.31,0.01,*,*,0,0
2015,1015,1028,778.3,0.01,*,*,0,0
2016,1016,1017,751.39,0.01,*,*,0,0
2017,1017,1018,751.39,0.01,*,*,0,0
2018,1018,1019,681.31,0.01,*,*,0,0
2019,1019,1020,681.31,0.01,*,*,0,0
2020,1020,1032,681.31,0.01,*,*,0,0
2021,1021,1022,793.47,0.01,*,*,0,0
2022,1022,1023,720.98,0.01,*,*,0,0
2023,1023,1024,576.46,0.01,*,*,0,0
2024,1024,1025,1031.24,0.01,*,*,0,0
2025,1025,1026,757.32,0.01,*,*,0,0
2026,1026,1027,1392.58,0.01,*,*,0,0
2027,1027,1028,274.51,0.01,*,*,0,0
2028,1028,1029,445.89,0.01,*,*,0,0
2029,1029,1030,445.99,0.01,*,*,0,0
2030,1030,1031,376.88,0.01,*,*,0,0
2031,1031,1032,446.63,0.01,*,*,0,0
2033,1027,1033,241.62,0.01,*,*,0,0
2034,1033,3001,169.67,0.01,*,*,0,0
2035,1029,3002,281.15,0.01,*,*,0,0
2036,1032,3003,371.62,0.01,*,*,0,0
2037,1034,1035,912.03,0.029422,*,*,0,0
2038,1035,1040,970.79,0.029422,*,*,0,0
2039,1036,1037,547.12,0.029422,*,*,0,0
2040,1037,1038,465.56,0.029422,*,*,0,0
2041,1038,1043,350.45,0.029422,*,*,0,0
2042,1039,1040,1200,0.081549,*,*,0,0
2043,1040,1041,801.35,0.081549,*,*,0,0
2044,1041,1042,648.77,0.081549,*,*,0,0
2045,1042,1043,1056.29,0.081549,*,*,0,0
2046,1043,1044,929.3,0.081549,*,*,0,0
2047,1044,3005,1082.57,0.081549,*,*,0,0
2048,1040,1022,274.09,0.015,*,*,0,0
2049,1041,1023,220.33,0.015,*,*,0,0
2050,1042,1024,249.92,0.015,*,*,0,0
2051,1043,1025,295.47,0.015,*,*,0,0
2052,1044,1026,323.47,0.015,*,*,0,0
