[JUNCTIONS],,,,,
Name,InvertElev,MaxDepth,InitDepth,SurDepth,Aponded
1001,1900,0,0,200,0
1002,1731.3889,0,0,200,0
1003,1624.0892,0,0,200,0
1004,1516.7895,0,0,200,0
1005,1409.4897,0,0,200,0
1006,1900,0,0,200,0
1007,1710.6706,0,0,200,0
1008,1587.5349,0,0,200,0
1009,1464.3991,0,0,200,0
1010,1341.2634,0,0,200,0
1011,1700,0,0,200,0
1012,1551.6158,0,0,200,0
1013,1441.628,0,0,200,0
1014,1331.6403,0,0,200,0
1015,1221.6526,0,0,200,0
1016,1700,0,0,200,0
1017,1492.7525,0,0,200,0
1018,1360,0,0,200,0
1019,1248.391,0,0,200,0
1020,1136.7819,0,0,200,0
1021,1446.0059,0,0,200,0
1022,1300,0,0,200,0
1023,1280,0,0,200,0
1024,1270,0,0,200,0
1025,1240,0,0,200,0
1026,1210,0,0,200,0
1027,1126.7879,0,0,200,0
1028,1105,0,0,200,0
1029,1097.8692,0,0,200,0
1030,1074.5355,0,0,200,0
1031,1051.2017,0,0,200,0
1032,1027.868,0,0,200,0
1033,1142,0,0,200,0
1034,1800,0,0,0,0
1035,1600,0,0,0,0
1036,1800,0,0,0,0
1037,1600,0,0,0,0
1038,1400,0,0,0,0
1039,1440,0,0,0,0
1040,1340,0,0,0,0
1041,1340,0,0,0,0
1042,1290,0,0,0,0
1043,1280,0,0,0,0
1044,1240,0,0,0,0
